shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
10075,33.846735,-118.249382,90006,2.734
10075,33.846730,-118.248599,90007,2.779
10075,33.846731,-118.248522,90008,2.784
10075,33.846730,-118.248453,90009,2.788
10075,33.846731,-118.248261,90010,2.799
10075,33.846731,-118.248261,100001,2.799
10075,33.846731,-118.248014,100002,2.813
10075,33.846731,-118.247958,100003,2.816
10075,33.846724,-118.244113,100004,3.037
10075,33.846723,-118.243705,100005,3.061
10075,33.846723,-118.243470,100006,3.074
10075,33.846723,-118.243470,110001,3.074
10075,33.846727,-118.239145,110002,3.323
10075,33.846727,-118.238676,110003,3.350
10075,33.846727,-118.238422,110004,3.364
10075,33.846727,-118.238422,120001,3.364
10075,33.846728,-118.235584,120002,3.528
10075,33.846720,-118.235127,120003,3.554
10075,33.846720,-118.235127,130001,3.554
10075,33.846715,-118.234791,130002,3.573
10075,33.846711,-118.234552,130003,3.587
10075,33.846701,-118.234332,130004,3.600
10075,33.846670,-118.234053,130005,3.616
10075,33.846657,-118.233876,130006,3.626
10075,33.846629,-118.233610,130007,3.641
10075,33.846610,-118.233317,130008,3.658
10075,33.846598,-118.233123,130009,3.670
10075,33.846586,-118.232798,130010,3.688
10075,33.846585,-118.232726,130011,3.692
10075,33.846579,-118.232445,130012,3.709
10075,33.846582,-118.231328,130013,3.773
10075,33.846583,-118.230163,130014,3.840
10075,33.846582,-118.229443,130015,3.881
10075,33.846582,-118.229016,130016,3.906
10075,33.846586,-118.228687,130017,3.925
10075,33.846584,-118.227779,130018,3.977
10075,33.846583,-118.227308,130019,4.004
10075,33.846585,-118.226605,130020,4.044
10075,33.846584,-118.225751,130021,4.094
10075,33.846583,-118.225341,130022,4.117
10075,33.846590,-118.224293,130023,4.177
10075,33.846592,-118.223985,130024,4.195
10075,33.846592,-118.223985,140001,4.195
10075,33.846594,-118.223734,140002,4.210
10075,33.846600,-118.223447,140003,4.226
10075,33.846622,-118.222797,140004,4.263
10075,33.846653,-118.221016,140005,4.366
10075,33.846657,-118.220756,140006,4.381
10075,33.846655,-118.220642,140007,4.387
10075,33.846653,-118.220539,140008,4.393
10075,33.846655,-118.220402,140009,4.401
10075,33.846659,-118.220216,140010,4.412
10075,33.846644,-118.219369,140011,4.461
10075,33.846642,-118.219271,140012,4.466
10075,33.846596,-118.217995,140013,4.540
10075,33.846592,-118.217856,140014,4.548
10075,33.846588,-118.216457,140015,4.628
10075,33.846585,-118.215885,140016,4.661
10075,33.846583,-118.215418,140017,4.688
10075,33.846580,-118.214765,140018,4.726
10075,33.846580,-118.214765,150001,4.726
10075,33.846579,-118.214656,150002,4.732
10075,33.846583,-118.214433,150003,4.745
10075,33.846583,-118.213822,150004,4.780
10075,33.846584,-118.212944,150005,4.830
10075,33.846586,-118.212517,150006,4.855
10075,33.846589,-118.211781,150007,4.897
10075,33.846582,-118.211662,150008,4.904
10075,33.846738,-118.211631,150009,4.915
10075,33.847467,-118.211556,150010,4.965
10075,33.847581,-118.211542,150011,4.973
10075,33.847636,-118.211538,150012,4.977
10075,33.847632,-118.211097,150013,5.002
10075,33.848112,-118.211297,150014,5.037
10081,33.848112,-118.211297,10001,0.000
10081,33.848619,-118.211508,10002,0.037
10081,33.848617,-118.211665,10003,0.046
10081,33.848471,-118.211633,10004,0.056
10081,33.848262,-118.211603,10005,0.071
10081,33.848052,-118.211591,10006,0.085
10081,33.847922,-118.211590,10007,0.094
10081,33.847751,-118.211605,10008,0.106
10081,33.847661,-118.211679,10009,0.114
10081,33.847425,-118.211706,10010,0.130
10081,33.847082,-118.211739,10011,0.154
10081,33.846733,-118.211768,10012,0.178
10081,33.846727,-118.212242,10013,0.205
10081,33.846724,-118.212935,10014,0.245
10081,33.846725,-118.213877,10015,0.299
10081,33.846726,-118.214499,10016,0.335
10081,33.846727,-118.214540,10017,0.337
10081,33.846727,-118.214540,20001,0.337
10081,33.846728,-118.214660,20002,0.344
10081,33.846731,-118.215577,20003,0.397
10081,33.846732,-118.216086,20004,0.426
10081,33.846733,-118.216516,20005,0.451
10081,33.846733,-118.216545,20006,0.452
10081,33.846731,-118.216844,20007,0.470
10081,33.846724,-118.217840,20008,0.527
10081,33.846727,-118.217986,20009,0.535
10081,33.846748,-118.218604,20010,0.571
10081,33.846778,-118.220171,20011,0.661
10081,33.846782,-118.220358,20012,0.672
10081,33.846780,-118.220476,20013,0.679
10081,33.846782,-118.220593,20014,0.685
10081,33.846782,-118.220756,20015,0.695
10081,33.846778,-118.220976,20016,0.707
10081,33.846753,-118.222750,20017,0.809
10081,33.846744,-118.223062,20018,0.827
10081,33.846725,-118.223751,20019,0.867
